Lines,Lon,VehicleNumber,Time,Lat,Brigade
197,20.9390766,1800,2024-02-20 17:42:51,52.246101,010
221,20.9940925,1801,2024-02-20 17:42:52,52.2594111,1
173,21.2621089,1802,2024-02-20 17:42:53,52.2442442,10
118,21.0163133,1803,2024-02-20 17:42:52,52.2232656,1
303,20.9614225,1804,2024-02-20 17:42:49,52.2673803,1
338,21.0300045,1805,2024-02-20 17:42:51,52.2614368,02
170,21.022124,1807,2024-02-20 17:42:53,52.2622848,4
178,20.980181,1808,2024-02-20 17:42:53,52.229672,012
173,21.2652063,1809,2024-02-20 17:42:51,52.2475305,8
118,21.0228448,1810,2024-02-20 17:42:51,52.2283105,3
126,21.0125266,1811,2024-02-20 17:42:54,52.318419,4
303,21.0458116,1812,2024-02-20 17:39:05,52.2642895,2
338,21.0884906,1813,2024-02-20 17:42:54,52.2607186,05
303,21.0030955,1814,2024-02-20 17:42:49,52.2895036,3
181,20.9863171,1815,2024-02-20 17:42:50,52.2692805,4
181,20.9484958,1816,2024-02-20 17:42:51,52.2918653,3
122,20.9406583,1817,2024-02-20 17:42:52,52.2697686,013
156,21.084894,1818,2024-02-20 17:42:51,52.2728023,06
173,21.1485611,1819,2024-02-20 17:42:51,52.2384508,2
730,21.1266626,1830,2024-02-20 17:42:55,52.234212,01
123,21.0523848,1833,2024-02-20 17:42:51,52.2501918,2
730,21.3783292,1838,2024-02-20 17:42:52,52.2000325,52
115,21.1704118,1840,2024-02-20 17:42:48,52.2771436,1
173,21.0717315,1842,2024-02-20 17:42:55,52.2502465,4
156,20.9380026,1844,2024-02-20 17:42:50,52.2872433,1
115,21.1710343,1845,2024-02-20 17:42:47,52.2749418,2
178,20.9528263,1846,2024-02-20 17:42:51,52.2121203,013
115,21.1570085,1848,2024-02-20 17:42:39,52.2377175,6
115,21.2081173,1849,2024-02-20 17:42:45,52.1652133,5
117,21.1024885,1851,2024-02-20 17:42:50,52.2221233,4
117,21.0050093,1855,2024-02-20 17:42:51,52.2297136,1
118,21.0214333,1856,2024-02-20 17:42:50,52.2463193,05
115,21.157498,1857,2024-02-20 17:42:51,52.236463,3
173,21.2176065,1858,2024-02-20 17:42:46,52.2143495,9
173,21.2114331,1859,2024-02-20 17:42:52,52.2468063,7
117,21.035456,1862,2024-02-20 17:42:46,52.2348948,2
722,21.1160603,1863,2024-02-20 17:42:53,52.2348556,61
722,21.274744,1869,2024-02-20 17:42:54,52.199669,61
222,21.0238231,1904,2024-02-20 17:42:55,52.1982386,1
222,21.024166,1906,2024-02-20 17:42:51,52.197866,5
106,20.9837817,1907,2024-02-20 17:42:55,52.1974964,7
331,21.0223736,1908,2024-02-20 17:42:55,52.1795661,05
222,21.0197926,1910,2024-02-20 17:42:55,52.2327369,2
222,20.9958817,1911,2024-02-20 17:42:54,52.1933575,6
251,21.114396,1912,2024-02-20 17:42:54,52.1031909,64
139,21.060299,1914,2024-02-20 17:42:53,52.171406,65
119,21.167398,1915,2024-02-20 17:42:53,52.204639,07
166,21.03805,1916,2024-02-20 17:42:52,52.233368,010
222,21.013823,1917,2024-02-20 17:42:52,52.24551,3
251,21.0993727,1918,2024-02-20 17:42:54,52.137738,066
222,21.018131,1919,2024-02-20 17:42:54,52.219555,4
331,20.99758,1991,2024-02-20 17:42:51,52.188908,04
